family,group,module,metric_name,zone,side,views,source_spaces,scope,status,catalog_role,function_template,notes
F0,skull_face,existing_backend.py,cranial_face_index,skull_face,B,"FR,LTL,RTL",canon_bucket/raw,single,legacy,both,legacy_export,
F0,skull_face,existing_backend.py,orbit_skull_ratio,skull_face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket/raw,single,legacy,both,legacy_export,
F0,skull_face,existing_backend.py,midface_compactness,skull_face,B,"FR,LTL,RTL",canon_bucket/raw,single,legacy,both,legacy_export,
F0,skull_face,existing_backend.py,midface_depth_index,skull_face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket/raw,single,legacy,both,legacy_export,
F0,jaw_chin,existing_backend.py,jaw_width_ratio,jaw_chin,B,"FR,LTL,RTL",canon_bucket/raw,single,legacy,both,legacy_export,
F0,jaw_chin,existing_backend.py,bigonial_width_ratio,jaw_chin,B,"FR,LTL,RTL",canon_bucket/raw,single,legacy,both,legacy_export,
F0,jaw_chin,existing_backend.py,gonial_width_asymmetry,jaw_chin,B,"FR,LTL,RTL",canon_bucket/raw,single,legacy,both,legacy_export,
F0,jaw_chin,existing_backend.py,chin_offset_asymmetry,jaw_chin,B,"FR,LTL,RTL",canon_bucket/raw,single,legacy,both,legacy_export,
F0,jaw_chin,existing_backend.py,gnathion_midline_deviation_ratio,jaw_chin,B,"FR,LTL,RTL",canon_bucket/raw,single,legacy,both,legacy_export,
F0,jaw_chin,existing_backend.py,mandibular_ramus_length,jaw_chin,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket/raw,single,legacy,both,legacy_export,
F0,jaw_chin,existing_backend.py,mandibular_body_length_L_ratio,jaw_chin,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP visible-side gated",canon_bucket/raw,single,legacy,both,legacy_export,
F0,jaw_chin,existing_backend.py,mandibular_body_length_R_ratio,jaw_chin,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP visible-side gated",canon_bucket/raw,single,legacy,both,legacy_export,
F0,jaw_chin,existing_backend.py,ramus_height_L_ratio,jaw_chin,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP visible-side gated",canon_bucket/raw,single,legacy,both,legacy_export,
F0,jaw_chin,existing_backend.py,ramus_height_R_ratio,jaw_chin,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP visible-side gated",canon_bucket/raw,single,legacy,both,legacy_export,
F0,nose_bridge,existing_backend.py,nose_projection_ratio,nose_bridge,NA,"LTM,RTM,LTD,RTD,LP,RP profile-safe",canon_bucket/raw,single,legacy,both,legacy_export,
F0,nose_bridge,existing_backend.py,nose_width_ratio,nose_bridge,B,"FR,LTL,RTL",canon_bucket/raw,single,legacy,both,legacy_export,
F0,nose_bridge,existing_backend.py,nose_bridge_length_ratio,nose_bridge,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket/raw,single,legacy,both,legacy_export,
F0,nose_bridge,existing_backend.py,nasion_zone_depth_ratio,nose_bridge,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket/raw,single,legacy,both,legacy_export,
F0,nose_bridge,existing_backend.py,nasal_frontal_index,nose_bridge,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket/raw,single,legacy,both,legacy_export,
F0,nose_bridge,existing_backend.py,nasofacial_angle_ratio,nose_bridge,NA,"LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket/raw,single,legacy,both,legacy_export,
F0,nose_bridge,existing_backend.py,nasal_length_ratio,nose_bridge,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket/raw,single,legacy,both,legacy_export,
F0,nose_bridge,existing_backend.py,subnasale_projection_ratio,nose_bridge,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket/raw,single,legacy,both,legacy_export,
F0,orbit,existing_backend.py,orbit_depth_L_ratio,orbit,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP visible-side gated",canon_bucket/raw,single,legacy,both,legacy_export,
F0,orbit,existing_backend.py,orbit_depth_R_ratio,orbit,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP visible-side gated",canon_bucket/raw,single,legacy,both,legacy_export,
F0,orbit,existing_backend.py,orbit_depth_asymmetry_ratio,orbit,B,"FR,LTL,RTL",canon_bucket/raw,single,legacy,both,legacy_export,
F0,orbit,existing_backend.py,orbit_width_L_ratio,orbit,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP visible-side gated",canon_bucket/raw,single,legacy,both,legacy_export,
F0,orbit,existing_backend.py,orbit_width_R_ratio,orbit,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP visible-side gated",canon_bucket/raw,single,legacy,both,legacy_export,
F0,orbit,existing_backend.py,orbit_fossa_spread_L,orbit,L,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP visible-side gated",canon_bucket/raw,single,legacy,both,legacy_export,
F0,orbit,existing_backend.py,orbit_fossa_spread_R,orbit,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP visible-side gated",canon_bucket/raw,single,legacy,both,legacy_export,
F0,orbit,existing_backend.py,orbit_centroid_ratio,orbit,B,"FR,LTL,RTL",canon_bucket/raw,single,legacy,both,legacy_export,
F0,orbit,existing_backend.py,orbit_vertical_signed_ratio,orbit,B,"FR,LTL,RTL",canon_bucket/raw,single,legacy,both,legacy_export,
F0,orbit,existing_backend.py,orbit_vertical_asymmetry_ratio,orbit,B,"FR,LTL,RTL",canon_bucket/raw,single,legacy,both,legacy_export,
